,Monthly GDP,Agriculture,Production,Construction,Services,,,,,,,,,,,,,,,,,
Section,A-T,A,B-E,F,G-T,,,,,,,,,,,,,,,,,
1997JAN,64.3701,79.3727,102.8463,71.062,57.4276,,,,,,,,,,,,,,,,,
1997FEB,65.241,79.7763,103.006,72.8567,58.3578,,,,,,,,,,,,,,,,,
1997MAR,65.5841,80.3141,102.2435,73.852,58.8335,,,,,,,,,,,,,,,,,
1997APR,65.7258,80.8366,102.351,73.8193,58.9857,,,,,,,,,,,,,,,,,
1997MAY,65.2434,81.1529,101.99,74.0478,58.4444,,,,,,,,,,,,,,,,,
1997JUN,65.7049,81.1535,102.1043,73.7296,59.0019,,,,,,,,,,,,,,,,,
1997JUL,65.7525,80.9777,103.6396,72.8894,58.8688,,,,,,,,,,,,,,,,,
1997AUG,65.8866,80.8455,101.9139,72.8731,59.3005,,,,,,,,,,,,,,,,,
1997SEP,66.0957,80.9209,102.4336,72.9546,59.469,,,,,,,,,,,,,,,,,
1997OCT,66.2417,81.194,103.0632,73.9499,59.4946,,,,,,,,,,,,,,,,,
1997NOV,66.5193,81.597,103.3985,74.8309,59.7296,,,,,,,,,,,,,,,,,
1997DEC,66.9697,82.0622,103.178,75.0675,60.2922,,,,,,,,,,,,,,,,,
1998JAN,66.7171,82.5193,102.9966,75.9648,59.9669,,,,,,,,,,,,,,,,,
1998FEB,67.4136,82.9095,104.2023,76.3156,60.6017,,,,,,,,,,,,,,,,,
1998MAR,67.4106,83.1977,104.478,75.7364,60.5814,,,,,,,,,,,,,,,,,
1998APR,67.835,83.4466,104.4247,74.2109,61.2003,,,,,,,,,,,,,,,,,
1998MAY,67.586,83.7497,103.4218,74.0314,61.0705,,,,,,,,,,,,,,,,,
1998JUN,67.7409,84.1305,103.335,73.4767,61.3049,,,,,,,,,,,,,,,,,
1998JUL,68.179,84.3987,103.7233,73.5991,61.7724,,,,,,,,,,,,,,,,,
1998AUG,68.287,84.296,102.9651,74.0396,62.0125,,,,,,,,,,,,,,,,,
1998SEP,68.3716,83.7547,103.0312,73.8193,62.1244,,,,,,,,,,,,,,,,,
1998OCT,68.7004,83.2888,103.0719,74.8228,62.4738,,,,,,,,,,,,,,,,,
1998NOV,68.9353,83.5999,103.0043,74.6351,62.7835,,,,,,,,,,,,,,,,,
1998DEC,69.2546,85.0674,103.2344,74.3578,63.1395,,,,,,,,,,,,,,,,,
1999JAN,69.1636,87.0722,102.8964,74.9206,63.0283,,,,,,,,,,,,,,,,,
1999FEB,69.4007,88.7117,102.698,74.9696,63.3344,,,,,,,,,,,,,,,,,
1999MAR,69.3513,89.3635,103.6128,74.7656,63.1254,,,,,,,,,,,,,,,,,
1999APR,68.9589,89.313,102.7021,74.3822,62.8147,,,,,,,,,,,,,,,,,
1999MAY,69.4665,89.1418,103.5233,75.0838,63.2652,,,,,,,,,,,,,,,,,
1999JUN,69.6619,89.2725,104.1846,75.247,63.3852,,,,,,,,,,,,,,,,,
1999JUL,70.1198,89.6326,104.6445,76.079,63.8208,,,,,,,,,,,,,,,,,
1999AUG,70.4443,89.9878,106.0844,76.3727,63.9607,,,,,,,,,,,,,,,,,
1999SEP,70.6059,90.167,106.4157,76.0546,64.1235,,,,,,,,,,,,,,,,,
1999OCT,71.2239,90.1979,106.2248,76.5685,64.8898,,,,,,,,,,,,,,,,,
1999NOV,71.4532,90.1733,106.761,75.8343,65.1305,,,,,,,,,,,,,,,,,
1999DEC,71.4228,90.165,105.8818,76.0138,65.2288,,,,,,,,,,,,,,,,,
2000JAN,71.984,90.155,105.7706,77.3353,65.8544,,,,,,,,,,,,,,,,,
2000FEB,72.2714,90.1795,106.5263,77.3924,66.0832,,,,,,,,,,,,,,,,,
2000MAR,72.0712,90.2232,106.3907,77.4414,65.8534,,,,,,,,,,,,,,,,,
2000APR,72.5446,90.3098,106.0721,77.3761,66.4984,,,,,,,,,,,,,,,,,
2000MAY,72.6924,90.4703,106.3373,76.3972,66.7044,,,,,,,,,,,,,,,,,
2000JUN,72.8865,90.7257,106.8782,75.6467,66.9061,,,,,,,,,,,,,,,,,
2000JUL,72.7492,91.0634,105.7868,75.043,66.9543,,,,,,,,,,,,,,,,,
2000AUG,73.4269,91.4588,106.9241,74.3007,67.6568,,,,,,,,,,,,,,,,,
2000SEP,73.1316,91.8156,105.9141,74.8391,67.417,,,,,,,,,,,,,,,,,
2000OCT,73.2369,91.8207,106.0949,76.079,67.4342,,,,,,,,,,,,,,,,,
2000NOV,73.3904,91.0923,107.2285,76.1117,67.4437,,,,,,,,,,,,,,,,,
2000DEC,73.6193,89.4472,106.8766,76.2993,67.79,,,,,,,,,,,,,,,,,
2001JAN,74.0075,87.3018,106.7545,75.6875,68.3646,,,,,,,,,,,,,,,,,
2001FEB,74.1906,85.2863,105.975,75.8098,68.7371,,,,,,,,,,,,,,,,,
2001MAR,74.3701,83.9275,105.7803,76.2748,68.9747,,,,,,,,,,,,,,,,,
2001APR,74.5514,83.4602,104.9885,77.2701,69.2684,,,,,,,,,,,,,,,,,
2001MAY,74.6525,84.0183,105.0361,77.6861,69.3515,,,,,,,,,,,,,,,,,
2001JUN,74.852,85.4717,104.8881,78.1837,69.5763,,,,,,,,,,,,,,,,,
2001JUL,74.968,86.8937,104.0616,77.5393,69.8948,,,,,,,,,,,,,,,,,
2001AUG,75.281,87.1043,105.9062,77.1967,69.9973,,,,,,,,,,,,,,,,,
2001SEP,75.1639,85.6117,104.4067,77.7595,70.0766,,,,,,,,,,,,,,,,,
2001OCT,75.4042,84.0183,103.548,78.5916,70.4767,,,,,,,,,,,,,,,,,
2001NOV,75.3464,84.6042,103.114,78.975,70.4427,,,,,,,,,,,,,,,,,
2001DEC,75.31,88.6354,103.2457,79.5134,70.2952,,,,,,,,,,,,,,,,,
2002JAN,75.6404,94.1188,102.8645,79.3585,70.7268,,,,,,,,,,,,,,,,,
2002FEB,75.6736,98.4617,103.5072,79.7582,70.5902,,,,,,,,,,,,,,,,,
2002MAR,75.9535,99.6991,105.3544,80.4434,70.5726,,,,,,,,,,,,,,,,,
2002APR,76.4379,98.6644,103.5759,80.0274,71.5069,,,,,,,,,,,,,,,,,
